species,length,weight,w_l_ratio
Pethia conchonius,7.43,4.38,0.59
Pethia conchonius,11.43,4.41,0.39
Pethia conchonius,8.94,4.37,0.49
Pethia conchonius,8.26,4.39,0.53
Pethia conchonius,12.43,4.38,0.35
Pethia conchonius,8.01,4.37,0.55
Pethia conchonius,10.51,4.39,0.42
Pethia conchonius,7.56,4.39,0.58
Pethia conchonius,11.97,4.42,0.37
Pethia conchonius,7.82,4.35,0.56
Pethia conchonius,8.79,4.42,0.5
Pethia conchonius,8.78,4.4,0.5
Pethia conchonius,10.62,4.37,0.41
Pethia conchonius,10.17,4.38,0.43
Pethia conchonius,9.84,4.38,0.45
Pethia conchonius,11.0,4.39,0.4
Pethia conchonius,9.7,4.38,0.45
Pethia conchonius,11.17,4.41,0.4
Pethia conchonius,9.76,4.38,0.45
Pethia conchonius,11.5,4.38,0.38
Pethia conchonius,9.79,4.36,0.45
Pethia conchonius,9.28,4.39,0.47
Pethia conchonius,8.73,4.39,0.5
Pethia conchonius,9.81,4.38,0.45
Pethia conchonius,8.3,4.35,0.52
Pethia conchonius,8.65,4.42,0.51
Pethia conchonius,12.56,4.36,0.35
Pethia conchonius,11.68,4.43,0.38
Pethia conchonius,10.3,4.38,0.43
Pethia conchonius,8.5,4.38,0.52
Pethia conchonius,7.7,4.35,0.56
Pethia conchonius,12.31,4.39,0.36
Pethia conchonius,8.62,4.35,0.51
Pethia conchonius,10.19,4.38,0.43
Pethia conchonius,9.24,4.38,0.47
Pethia conchonius,8.78,4.41,0.5
Pethia conchonius,12.02,4.44,0.37
Pethia conchonius,9.7,4.41,0.45
Pethia conchonius,8.72,4.42,0.51
Pethia conchonius,7.75,4.39,0.57
Pethia conchonius,11.11,4.4,0.4
Pethia conchonius,11.07,4.33,0.39
Pethia conchonius,10.3,4.4,0.43
Pethia conchonius,10.49,4.38,0.42
Pethia conchonius,8.25,4.38,0.53
Pethia conchonius,8.83,4.36,0.49
Pethia conchonius,10.85,4.4,0.41
Pethia conchonius,12.37,4.41,0.36
Pethia conchonius,8.48,4.37,0.52
Pethia conchonius,8.51,4.38,0.51
Pethia conchonius,11.6,4.42,0.38
Pethia conchonius,8.76,4.37,0.5
Pethia conchonius,8.62,4.39,0.51
Pethia conchonius,9.23,4.42,0.48
Pethia conchonius,10.13,4.43,0.44
Pethia conchonius,9.66,4.41,0.46
Pethia conchonius,9.66,4.41,0.46
Pethia conchonius,7.88,4.37,0.55
Pethia conchonius,8.6,4.4,0.51
Pethia conchonius,11.72,4.46,0.38
Pethia conchonius,9.43,4.37,0.46
Pethia conchonius,9.54,4.39,0.46
Pethia conchonius,9.06,4.41,0.49
Pethia conchonius,11.07,4.42,0.4
Pethia conchonius,10.03,4.41,0.44
Pethia conchonius,11.54,4.36,0.38
Pethia conchonius,10.3,4.41,0.43
Pethia conchonius,7.64,4.38,0.57
Pethia conchonius,7.85,4.37,0.56
Pethia conchonius,9.42,4.4,0.47
Pethia conchonius,9.51,4.39,0.46
Pethia conchonius,8.7,4.38,0.5
Pethia conchonius,8.91,4.37,0.49
Pethia conchonius,10.39,4.42,0.43
Pethia conchonius,10.6,4.4,0.42
Pethia conchonius,10.09,4.4,0.44
Pethia conchonius,12.05,4.45,0.37
Pethia conchonius,10.32,4.37,0.42
Pethia conchonius,8.15,4.35,0.53
Pethia conchonius,11.78,4.37,0.37
Pethia conchonius,12.4,4.41,0.36
Pethia conchonius,7.94,4.36,0.55
Pethia conchonius,10.54,4.44,0.42
Pethia conchonius,9.67,4.39,0.45
Pethia conchonius,7.94,4.38,0.55
Pethia conchonius,7.42,4.38,0.59
Pethia conchonius,9.9,4.37,0.44
Pethia conchonius,9.15,4.42,0.48
Pethia conchonius,9.04,4.37,0.48
Pethia conchonius,10.86,4.4,0.4
Pethia conchonius,8.8,4.41,0.5
Pethia conchonius,9.72,4.38,0.45
Pethia conchonius,10.35,4.4,0.42
Pethia conchonius,8.26,4.37,0.53
Pethia conchonius,10.46,4.39,0.42
Pethia conchonius,9.91,4.4,0.44
Pethia conchonius,11.67,4.42,0.38
Pethia conchonius,10.86,4.36,0.4
Pethia conchonius,9.86,4.39,0.45
Pethia conchonius,7.95,4.39,0.55
Pethia conchonius,8.97,4.41,0.49
Pethia conchonius,9.15,4.39,0.48
Pethia conchonius,11.62,4.36,0.38
Pethia conchonius,9.93,4.35,0.44
Pethia conchonius,10.08,4.41,0.44
Pethia conchonius,8.73,4.35,0.5
Pethia conchonius,8.14,4.39,0.54
Pethia conchonius,10.5,4.42,0.42
Pethia conchonius,9.28,4.4,0.47
Pethia conchonius,9.15,4.39,0.48
Pethia conchonius,10.62,4.35,0.41
Pethia conchonius,11.06,4.43,0.4
Pethia conchonius,7.37,4.39,0.59
Pethia conchonius,7.77,4.37,0.56
Pethia conchonius,8.98,4.42,0.49
Pethia conchonius,8.16,4.38,0.54
Pethia conchonius,11.39,4.39,0.39
Pethia conchonius,11.41,4.37,0.38
Pethia conchonius,8.39,4.38,0.52
Pethia conchonius,8.42,4.38,0.52
Pethia conchonius,8.49,4.37,0.51
Pethia conchonius,11.06,4.44,0.4
Pethia conchonius,8.99,4.45,0.49
Pethia conchonius,8.69,4.4,0.51
Pethia conchonius,10.06,4.38,0.43
Pethia conchonius,8.54,4.35,0.51
Pethia conchonius,9.08,4.38,0.48
Pethia conchonius,9.65,4.38,0.45
Pethia conchonius,10.12,4.42,0.44
Pethia conchonius,9.95,4.39,0.44
Pethia conchonius,9.82,4.4,0.45
Pethia conchonius,8.19,4.36,0.53
Pethia conchonius,10.17,4.39,0.43
Pethia conchonius,9.55,4.42,0.46
Pethia conchonius,8.67,4.38,0.51
Pethia conchonius,10.34,4.39,0.42
Pethia conchonius,8.43,4.38,0.52
Pethia conchonius,10.09,4.39,0.43
Pethia conchonius,10.02,4.39,0.44
Pethia conchonius,9.49,4.38,0.46
Pethia conchonius,7.77,4.34,0.56
Pethia conchonius,9.48,4.4,0.46
Pethia conchonius,8.56,4.37,0.51
Pethia conchonius,9.6,4.37,0.46
Pethia conchonius,8.02,4.38,0.55
Pethia conchonius,9.98,4.38,0.44
Pethia conchonius,7.55,4.38,0.58
Pethia conchonius,11.33,4.36,0.38
Pethia conchonius,11.27,4.39,0.39
Pethia conchonius,8.49,4.35,0.51
Pethia conchonius,8.59,4.38,0.51
Pethia conchonius,12.1,4.36,0.36
Pethia conchonius,12.45,4.39,0.35
Pethia conchonius,10.42,4.39,0.42
Pethia conchonius,10.4,4.36,0.42
Pethia conchonius,11.7,4.38,0.37
Pethia conchonius,11.35,4.4,0.39
Pethia conchonius,9.3,4.41,0.47
Pethia conchonius,8.53,4.4,0.52
Pethia conchonius,10.57,4.43,0.42
Pethia conchonius,8.55,4.39,0.51
Pethia conchonius,10.06,4.38,0.44
Pethia conchonius,9.12,4.39,0.48
Pethia conchonius,8.46,4.36,0.52
Pethia conchonius,8.46,4.35,0.51
Pethia conchonius,8.81,4.39,0.5
Pethia conchonius,9.29,4.38,0.47
Pethia conchonius,8.75,4.41,0.5
Pethia conchonius,8.26,4.39,0.53
Pethia conchonius,12.95,4.44,0.34
Pethia conchonius,10.28,4.43,0.43
Pethia conchonius,10.19,4.4,0.43
Pethia conchonius,8.21,4.38,0.53
Pethia conchonius,8.46,4.32,0.51
Pethia conchonius,9.43,4.39,0.47
Pethia conchonius,9.4,4.39,0.47
Pethia conchonius,11.0,4.37,0.4
Pethia conchonius,12.07,4.39,0.36
Pethia conchonius,9.54,4.36,0.46
Pethia conchonius,8.21,4.39,0.54
Pethia conchonius,10.94,4.42,0.4
Pethia conchonius,9.11,4.38,0.48
Pethia conchonius,10.08,4.39,0.44
Pethia conchonius,9.1,4.39,0.48
Pethia conchonius,9.78,4.4,0.45
Pethia conchonius,8.3,4.36,0.52
Pethia conchonius,9.92,4.4,0.44
Pethia conchonius,9.0,4.42,0.49
Pethia conchonius,10.36,4.4,0.42
Pethia conchonius,10.06,4.43,0.44
Pethia conchonius,9.05,4.39,0.49
Pethia conchonius,8.98,4.39,0.49
Pethia conchonius,10.46,4.38,0.42
Pethia conchonius,7.83,4.41,0.56
Pethia conchonius,8.78,4.37,0.5
Pethia conchonius,10.14,4.39,0.43
Pethia conchonius,9.8,4.38,0.45
Pethia conchonius,9.09,4.38,0.48
Pethia conchonius,9.69,4.4,0.45
Pethia conchonius,7.31,4.39,0.6
Pethia conchonius,7.24,4.4,0.61
Pethia conchonius,9.28,4.37,0.47
Pethia conchonius,8.97,4.35,0.49
Pethia conchonius,9.05,4.36,0.48
Pethia conchonius,11.79,4.43,0.38
Pethia conchonius,9.1,4.39,0.48
Pethia conchonius,10.94,4.4,0.4
Pethia conchonius,7.83,4.38,0.56
Pethia conchonius,8.21,4.38,0.53
Pethia conchonius,9.3,4.39,0.47
Pethia conchonius,11.23,4.4,0.39
Pethia conchonius,9.49,4.4,0.46
Pethia conchonius,7.19,4.35,0.61
Pethia conchonius,9.17,4.4,0.48
Pethia conchonius,8.03,4.39,0.55
Pethia conchonius,9.53,4.42,0.46
Pethia conchonius,12.24,4.43,0.36
Pethia conchonius,9.01,4.4,0.49
Pethia conchonius,11.18,4.44,0.4
Pethia conchonius,10.34,4.4,0.43
Pethia conchonius,8.83,4.39,0.5
Pethia conchonius,10.24,4.39,0.43
Pethia conchonius,9.23,4.32,0.47
Pethia conchonius,10.84,4.39,0.4
Pethia conchonius,10.55,4.39,0.42
Pethia conchonius,10.95,4.42,0.4
Pethia conchonius,8.58,4.37,0.51
Pethia conchonius,10.37,4.39,0.42
Pethia conchonius,12.11,4.43,0.37
Pethia conchonius,11.27,4.42,0.39
Pethia conchonius,10.79,4.41,0.41
Pethia conchonius,8.3,4.39,0.53
Pethia conchonius,10.99,4.41,0.4
Pethia conchonius,11.37,4.35,0.38
Pethia conchonius,9.56,4.4,0.46
Pethia conchonius,9.13,4.37,0.48
Pethia conchonius,9.43,4.36,0.46
Pethia conchonius,8.97,4.36,0.49
Pethia conchonius,8.9,4.38,0.49
Pethia conchonius,10.06,4.35,0.43
Pethia conchonius,8.83,4.41,0.5
Pethia conchonius,8.3,4.36,0.52
Pethia conchonius,8.79,4.38,0.5
Pethia conchonius,9.6,4.38,0.46
Pethia conchonius,9.33,4.41,0.47
Pethia conchonius,9.98,4.39,0.44
Pethia conchonius,8.34,4.43,0.53
Pethia conchonius,10.27,4.4,0.43
Pethia conchonius,12.22,4.43,0.36
Pethia conchonius,7.85,4.41,0.56
Pethia conchonius,10.9,4.37,0.4
Pethia conchonius,7.66,4.4,0.57
Pethia conchonius,8.39,4.41,0.53
Pethia conchonius,10.1,4.39,0.43
Pethia conchonius,11.3,4.37,0.39
Pethia conchonius,9.3,4.4,0.47
Pethia conchonius,9.41,4.36,0.46
Pethia conchonius,11.88,4.38,0.37
Pethia conchonius,9.18,4.37,0.48
Pethia conchonius,7.71,4.4,0.57
Pethia conchonius,9.81,4.42,0.45
Pethia conchonius,9.09,4.32,0.47
Pethia conchonius,10.54,4.43,0.42
Pethia conchonius,8.73,4.4,0.5
Pethia conchonius,8.67,4.37,0.5
Pethia conchonius,11.35,4.42,0.39
Pethia conchonius,11.51,4.42,0.38
Pethia conchonius,11.25,4.42,0.39
Pethia conchonius,11.35,4.38,0.39
Pethia conchonius,9.35,4.38,0.47
Pethia conchonius,8.91,4.39,0.49
Pethia conchonius,9.2,4.39,0.48
Pethia conchonius,10.8,4.42,0.41
Pethia conchonius,8.42,4.4,0.52
Pethia conchonius,11.51,4.43,0.38
Pethia conchonius,10.1,4.41,0.44
Pethia conchonius,11.19,4.38,0.39
Pethia conchonius,10.2,4.38,0.43
Pethia conchonius,9.77,4.41,0.45
Pethia conchonius,11.66,4.42,0.38
Pethia conchonius,9.93,4.4,0.44
Pethia conchonius,8.66,4.4,0.51
Pethia conchonius,11.09,4.36,0.39
Pethia conchonius,12.99,4.43,0.34
Pethia conchonius,11.11,4.42,0.4
Pethia conchonius,9.92,4.37,0.44
Pethia conchonius,9.55,4.45,0.47
Pethia conchonius,9.54,4.39,0.46
Pethia conchonius,12.69,4.36,0.34
Pethia conchonius,8.05,4.35,0.54
Pethia conchonius,8.76,4.38,0.5
Pethia conchonius,9.67,4.37,0.45
Pethia conchonius,7.29,4.36,0.6
Pethia conchonius,9.65,4.39,0.46
Pethia conchonius,9.75,4.4,0.45
Pethia conchonius,9.26,4.39,0.47
Pethia conchonius,10.24,4.42,0.43
Pethia conchonius,8.91,4.36,0.49
Pethia conchonius,9.62,4.37,0.45
Pethia conchonius,10.34,4.39,0.42
Pethia conchonius,9.74,4.39,0.45
Pethia conchonius,10.17,4.42,0.43
Pethia conchonius,10.7,4.38,0.41
Pethia conchonius,8.81,4.37,0.5
Pethia conchonius,11.7,4.37,0.37
Pethia conchonius,8.54,4.37,0.51
Pethia conchonius,12.03,4.37,0.36
Pethia conchonius,8.67,4.36,0.5
Pethia conchonius,8.09,4.37,0.54
Pethia conchonius,9.22,4.41,0.48
Pethia conchonius,9.43,4.39,0.47
Pethia conchonius,10.12,4.35,0.43
Pethia conchonius,10.18,4.42,0.43
Pethia conchonius,8.66,4.36,0.5
Pethia conchonius,9.87,4.38,0.44
Pethia conchonius,11.19,4.37,0.39
Pethia conchonius,8.14,4.43,0.54
Pethia conchonius,10.71,4.42,0.41
Pethia conchonius,10.98,4.43,0.4
Pethia conchonius,8.23,4.43,0.54
Pethia conchonius,10.13,4.37,0.43
Pethia conchonius,10.6,4.39,0.41
Pethia conchonius,11.46,4.37,0.38
Pethia conchonius,11.32,4.38,0.39
Pethia conchonius,8.03,4.37,0.54
Pethia conchonius,9.07,4.41,0.49
Pethia conchonius,9.06,4.4,0.49
Pethia conchonius,7.99,4.36,0.54
Pethia conchonius,10.85,4.43,0.41
Pethia conchonius,10.59,4.4,0.42
Pethia conchonius,9.53,4.35,0.46
Pethia conchonius,7.96,4.37,0.55
Pethia conchonius,10.83,4.35,0.4
Pethia conchonius,10.12,4.39,0.43
Pethia conchonius,9.47,4.41,0.47
Pethia conchonius,10.4,4.37,0.42
Pethia conchonius,11.77,4.46,0.38
Pethia conchonius,8.44,4.39,0.52
Polynemus paradiseus,12.33,3.87,0.31
Polynemus paradiseus,16.27,3.68,0.23
Polynemus paradiseus,12.45,4.13,0.33
Polynemus paradiseus,13.23,3.89,0.29
Polynemus paradiseus,13.48,3.65,0.27
Polynemus paradiseus,11.43,3.79,0.33
Polynemus paradiseus,13.1,3.73,0.28
Polynemus paradiseus,10.6,3.88,0.37
Polynemus paradiseus,13.86,3.75,0.27
Polynemus paradiseus,14.77,3.61,0.24
Polynemus paradiseus,16.26,3.66,0.22
Polynemus paradiseus,10.92,3.67,0.34
Polynemus paradiseus,15.42,3.82,0.25
Polynemus paradiseus,11.25,3.84,0.34
Polynemus paradiseus,15.23,4.01,0.26
Polynemus paradiseus,15.31,3.81,0.25
Polynemus paradiseus,12.7,3.93,0.31
Polynemus paradiseus,12.94,3.7,0.29
Polynemus paradiseus,15.69,3.8,0.24
Polynemus paradiseus,13.63,3.74,0.27
Polynemus paradiseus,12.43,3.67,0.3
Polynemus paradiseus,15.39,3.95,0.26
Polynemus paradiseus,14.24,3.83,0.27
Polynemus paradiseus,12.79,3.71,0.29
Polynemus paradiseus,12.89,3.71,0.29
Polynemus paradiseus,12.28,3.77,0.31
Polynemus paradiseus,12.66,3.93,0.31
Polynemus paradiseus,12.57,3.76,0.3
Polynemus paradiseus,10.69,3.65,0.34
Polynemus paradiseus,13.16,4.04,0.31
Polynemus paradiseus,11.51,3.7,0.32
Polynemus paradiseus,14.1,3.78,0.27
Polynemus paradiseus,13.96,3.7,0.27
Polynemus paradiseus,13.16,3.85,0.29
Polynemus paradiseus,13.37,3.8,0.28
Polynemus paradiseus,10.47,3.95,0.38
Polynemus paradiseus,14.43,4.0,0.28
Polynemus paradiseus,14.68,4.14,0.28
Polynemus paradiseus,12.23,3.81,0.31
Polynemus paradiseus,11.7,4.03,0.34
Polynemus paradiseus,14.65,3.76,0.26
Polynemus paradiseus,11.75,3.71,0.32
Polynemus paradiseus,13.58,3.88,0.29
Polynemus paradiseus,11.29,3.74,0.33
Polynemus paradiseus,14.37,3.9,0.27
Polynemus paradiseus,13.44,3.84,0.29
Polynemus paradiseus,12.0,3.63,0.3
Polynemus paradiseus,12.84,3.84,0.3
Polynemus paradiseus,15.67,3.85,0.25
Polynemus paradiseus,13.87,3.59,0.26
Polynemus paradiseus,15.04,3.67,0.24
Polynemus paradiseus,13.91,3.78,0.27
Polynemus paradiseus,13.44,3.73,0.28
Polynemus paradiseus,10.72,3.78,0.35
Polynemus paradiseus,12.8,3.6,0.28
Polynemus paradiseus,11.97,3.82,0.32
Polynemus paradiseus,11.57,3.74,0.32
Polynemus paradiseus,13.48,3.8,0.28
Polynemus paradiseus,12.39,3.83,0.31
Polynemus paradiseus,12.41,3.72,0.3
Polynemus paradiseus,9.79,3.74,0.38
Polynemus paradiseus,9.43,3.8,0.4
Polynemus paradiseus,11.51,3.62,0.31
Polynemus paradiseus,10.14,3.76,0.37
Polynemus paradiseus,13.17,3.65,0.28
Polynemus paradiseus,14.42,3.69,0.26
Polynemus paradiseus,11.77,3.59,0.3
Polynemus paradiseus,14.78,3.57,0.24
Polynemus paradiseus,9.97,3.95,0.4
Polynemus paradiseus,10.78,3.73,0.35
Polynemus paradiseus,11.04,3.75,0.34
Polynemus paradiseus,11.77,3.68,0.31
Polynemus paradiseus,13.08,3.88,0.3
Polynemus paradiseus,12.94,3.9,0.3
Polynemus paradiseus,13.51,3.67,0.27
Polynemus paradiseus,15.07,3.74,0.25
Polynemus paradiseus,12.8,3.77,0.29
Polynemus paradiseus,11.7,3.81,0.33
Polynemus paradiseus,12.7,3.71,0.29
Polynemus paradiseus,14.64,3.67,0.25
Polynemus paradiseus,15.82,3.63,0.23
Polynemus paradiseus,12.81,3.79,0.3
Polynemus paradiseus,10.21,3.68,0.36
Polynemus paradiseus,10.54,3.8,0.36
Polynemus paradiseus,13.14,3.73,0.28
Polynemus paradiseus,11.09,3.64,0.33
Polynemus paradiseus,10.7,3.82,0.36
Polynemus paradiseus,12.95,3.91,0.3
Polynemus paradiseus,13.66,3.75,0.27
Polynemus paradiseus,11.88,3.91,0.33
Polynemus paradiseus,12.4,3.72,0.3
Polynemus paradiseus,12.66,3.52,0.28
Polynemus paradiseus,11.49,3.97,0.35
Polynemus paradiseus,13.29,3.62,0.27
Polynemus paradiseus,11.0,3.69,0.34
Polynemus paradiseus,12.03,3.66,0.3
Polynemus paradiseus,12.22,3.82,0.31
Polynemus paradiseus,12.04,3.79,0.32
Polynemus paradiseus,11.66,3.75,0.32
Polynemus paradiseus,10.8,3.33,0.31
Polynemus paradiseus,11.89,4.04,0.34
Polynemus paradiseus,13.79,3.68,0.27
Polynemus paradiseus,15.1,3.78,0.25
Polynemus paradiseus,15.86,3.69,0.23
Polynemus paradiseus,13.49,3.71,0.28
Polynemus paradiseus,11.94,3.82,0.32
Polynemus paradiseus,13.54,3.89,0.29
Polynemus paradiseus,11.34,4.05,0.36
Polynemus paradiseus,12.12,3.7,0.31
Polynemus paradiseus,11.26,3.73,0.33
Polynemus paradiseus,15.01,3.58,0.24
Polynemus paradiseus,11.31,3.63,0.32
Polynemus paradiseus,15.37,3.75,0.24
Polynemus paradiseus,13.96,3.9,0.28
Polynemus paradiseus,15.54,3.65,0.24
Polynemus paradiseus,15.22,3.7,0.24
Polynemus paradiseus,16.1,3.86,0.24
Polynemus paradiseus,12.71,3.81,0.3
Polynemus paradiseus,14.9,3.79,0.25
Polynemus paradiseus,14.2,3.71,0.26
Polynemus paradiseus,12.49,3.9,0.31
Polynemus paradiseus,15.1,3.78,0.25
Polynemus paradiseus,10.18,3.68,0.36
Polynemus paradiseus,14.08,3.69,0.26
Polynemus paradiseus,13.75,3.94,0.29
Polynemus paradiseus,13.47,3.8,0.28
Polynemus paradiseus,13.84,3.97,0.29
Polynemus paradiseus,16.19,3.78,0.23
Polynemus paradiseus,12.86,4.01,0.31
Polynemus paradiseus,12.32,3.81,0.31
Polynemus paradiseus,12.89,3.96,0.31
Polynemus paradiseus,13.8,3.77,0.27
Polynemus paradiseus,13.79,3.99,0.29
Polynemus paradiseus,15.44,3.99,0.26
Polynemus paradiseus,11.86,3.91,0.33
Polynemus paradiseus,13.35,3.72,0.28
Polynemus paradiseus,13.71,3.6,0.26
Polynemus paradiseus,15.48,3.72,0.24
Polynemus paradiseus,15.43,4.2,0.27
Polynemus paradiseus,12.94,3.65,0.28
Polynemus paradiseus,13.53,3.76,0.28
Polynemus paradiseus,12.15,3.78,0.31
Polynemus paradiseus,14.93,4.05,0.27
Polynemus paradiseus,12.48,3.71,0.3
Polynemus paradiseus,9.67,3.66,0.38
Polynemus paradiseus,11.5,3.8,0.33
Polynemus paradiseus,12.9,3.66,0.28
Polynemus paradiseus,14.11,3.95,0.28
Polynemus paradiseus,10.3,3.52,0.34
Polynemus paradiseus,12.0,3.93,0.33
Polynemus paradiseus,12.3,3.92,0.32
Polynemus paradiseus,11.83,3.58,0.3
Polynemus paradiseus,12.7,3.63,0.29
Polynemus paradiseus,12.17,3.79,0.31
Polynemus paradiseus,15.52,3.94,0.25
Polynemus paradiseus,11.99,3.87,0.32
Polynemus paradiseus,15.11,3.66,0.24
Polynemus paradiseus,11.79,3.81,0.32
Polynemus paradiseus,12.54,3.54,0.28
Polynemus paradiseus,10.56,4.02,0.38
Polynemus paradiseus,15.26,3.74,0.25
Polynemus paradiseus,14.89,3.94,0.26
Polynemus paradiseus,11.0,3.68,0.33
Polynemus paradiseus,12.11,3.69,0.31
Polynemus paradiseus,13.78,3.76,0.27
Polynemus paradiseus,12.87,3.92,0.3
Polynemus paradiseus,13.17,3.67,0.28
Polynemus paradiseus,13.56,3.58,0.26
Polynemus paradiseus,11.1,3.9,0.35
Polynemus paradiseus,12.89,3.88,0.3
Polynemus paradiseus,11.2,3.91,0.35
Polynemus paradiseus,12.45,3.71,0.3
Polynemus paradiseus,12.52,3.91,0.31
Polynemus paradiseus,14.65,3.87,0.26
Polynemus paradiseus,13.0,3.83,0.29
Polynemus paradiseus,10.75,4.0,0.37
Polynemus paradiseus,15.66,3.68,0.24
Polynemus paradiseus,13.34,3.9,0.29
Polynemus paradiseus,14.39,4.08,0.28
Polynemus paradiseus,11.13,3.67,0.33
Polynemus paradiseus,11.4,3.63,0.32
Polynemus paradiseus,11.71,4.03,0.34
Polynemus paradiseus,11.53,3.87,0.34
Polynemus paradiseus,13.12,3.7,0.28
Polynemus paradiseus,13.82,3.76,0.27
Polynemus paradiseus,12.03,3.66,0.3
Polynemus paradiseus,13.14,3.89,0.3
Polynemus paradiseus,14.85,3.78,0.25
Polynemus paradiseus,11.6,3.6,0.31
Polynemus paradiseus,12.78,3.88,0.3
Polynemus paradiseus,11.59,3.89,0.34
Polynemus paradiseus,14.95,3.92,0.26
Polynemus paradiseus,14.64,3.92,0.27
Polynemus paradiseus,14.15,3.71,0.26
Polynemus paradiseus,13.67,4.08,0.3
Polynemus paradiseus,11.88,3.7,0.31
Polynemus paradiseus,11.8,3.8,0.32
Polynemus paradiseus,13.51,3.78,0.28
Polynemus paradiseus,12.89,3.72,0.29
Polynemus paradiseus,12.49,3.75,0.3
Polynemus paradiseus,14.03,3.73,0.27
Polynemus paradiseus,11.18,3.62,0.32
Polynemus paradiseus,14.09,3.8,0.27
Polynemus paradiseus,10.56,3.78,0.36
Polynemus paradiseus,11.29,3.73,0.33
Polynemus paradiseus,12.51,3.71,0.3
Polynemus paradiseus,15.22,3.88,0.25
Polynemus paradiseus,12.29,3.78,0.31
Polynemus paradiseus,13.78,3.7,0.27
Polynemus paradiseus,12.95,3.63,0.28
Polynemus paradiseus,11.5,3.9,0.34
Polynemus paradiseus,11.76,3.8,0.32
Polynemus paradiseus,16.25,3.79,0.23
Polynemus paradiseus,13.96,3.92,0.28
Polynemus paradiseus,13.76,3.77,0.27
Polynemus paradiseus,10.8,3.83,0.35
Polynemus paradiseus,14.81,3.68,0.25
Polynemus paradiseus,13.17,3.8,0.29
Polynemus paradiseus,13.5,3.75,0.28
Polynemus paradiseus,12.14,3.95,0.33
Polynemus paradiseus,10.06,3.85,0.38
Polynemus paradiseus,11.24,3.84,0.34
Polynemus paradiseus,13.41,3.98,0.3
Polynemus paradiseus,13.28,3.71,0.28
Polynemus paradiseus,13.92,3.78,0.27
Polynemus paradiseus,15.1,3.56,0.24
Polynemus paradiseus,12.73,3.83,0.3
Polynemus paradiseus,9.81,3.62,0.37
Polynemus paradiseus,15.4,3.83,0.25
Polynemus paradiseus,13.84,3.72,0.27
Polynemus paradiseus,11.97,3.67,0.31
Polynemus paradiseus,10.99,3.61,0.33
Polynemus paradiseus,10.1,3.8,0.38
Polynemus paradiseus,11.21,3.76,0.34
Polynemus paradiseus,11.87,3.68,0.31
Polynemus paradiseus,11.22,3.95,0.35
Polynemus paradiseus,15.25,3.62,0.24
Polynemus paradiseus,11.8,3.82,0.32
Polynemus paradiseus,12.22,3.84,0.31
Polynemus paradiseus,12.89,3.82,0.3
Polynemus paradiseus,11.5,3.78,0.33
Polynemus paradiseus,13.78,3.55,0.26
Polynemus paradiseus,15.05,3.68,0.24
Polynemus paradiseus,13.36,3.81,0.29
Polynemus paradiseus,14.53,3.66,0.25
Polynemus paradiseus,14.47,3.69,0.26
Polynemus paradiseus,11.12,3.74,0.34
Polynemus paradiseus,14.11,3.54,0.25
Polynemus paradiseus,11.9,3.95,0.33
Polynemus paradiseus,12.4,3.86,0.31
Polynemus paradiseus,9.36,3.76,0.4
Polynemus paradiseus,14.7,4.0,0.27
Polynemus paradiseus,14.44,3.87,0.27
Polynemus paradiseus,14.76,3.65,0.25
Polynemus paradiseus,15.11,3.84,0.25
Polynemus paradiseus,15.98,3.89,0.24
Polynemus paradiseus,13.43,3.84,0.29
Polynemus paradiseus,13.66,3.94,0.29
Polynemus paradiseus,13.18,3.79,0.29
Polynemus paradiseus,12.87,3.68,0.29
Polynemus paradiseus,12.08,3.74,0.31
Polynemus paradiseus,14.8,3.62,0.24
Polynemus paradiseus,12.13,3.62,0.3
Polynemus paradiseus,14.52,3.8,0.26
Polynemus paradiseus,9.62,3.76,0.39
Polynemus paradiseus,14.34,3.66,0.26
Polynemus paradiseus,13.99,3.7,0.26
Polynemus paradiseus,11.92,3.87,0.32
Polynemus paradiseus,13.34,3.44,0.26
Polynemus paradiseus,10.97,3.84,0.35
Polynemus paradiseus,14.45,3.94,0.27
Polynemus paradiseus,14.09,3.79,0.27
Polynemus paradiseus,11.73,3.86,0.33
Polynemus paradiseus,10.77,3.62,0.34
Polynemus paradiseus,15.26,3.95,0.26
Polynemus paradiseus,10.83,3.75,0.35
Polynemus paradiseus,12.23,3.68,0.3
Polynemus paradiseus,9.78,3.72,0.38
Polynemus paradiseus,13.31,3.77,0.28
Polynemus paradiseus,11.91,3.74,0.31
Polynemus paradiseus,13.2,3.84,0.29
Polynemus paradiseus,15.67,3.84,0.25
Polynemus paradiseus,12.22,3.89,0.32
Polynemus paradiseus,13.64,3.72,0.27
Polynemus paradiseus,12.31,3.8,0.31
Polynemus paradiseus,13.74,3.78,0.28
Polynemus paradiseus,11.83,3.71,0.31
Polynemus paradiseus,10.38,3.74,0.36
Polynemus paradiseus,10.69,3.8,0.36
Polynemus paradiseus,10.37,3.73,0.36
Polynemus paradiseus,14.31,3.9,0.27
Polynemus paradiseus,15.37,3.84,0.25
Polynemus paradiseus,11.35,3.54,0.31
Polynemus paradiseus,13.58,3.63,0.27
Polynemus paradiseus,12.39,3.99,0.32
Polynemus paradiseus,14.06,3.71,0.26
Polynemus paradiseus,12.27,3.96,0.32
Polynemus paradiseus,15.51,3.75,0.24
Polynemus paradiseus,13.55,3.99,0.29
